"BehaviorSpace results (NetLogo 6.1.1)"
"YBC_Continuous_Breeding_20210422_agerepro.nlogo"
"single_run_continuous_breeding"
"04/22/2021 10:43:12:247 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","within-group.contact","infection-length","group-size","rnot","age-repro","virulence","immunity-barrier","clan-number","between-group.contact","survival","fertility","frequency_transmission","fission","[step]","abundance","sealed","open","protected","nonprot","locked","count hyenas with [disease = ""infected""]","count hyenas with [disease = ""infected"" AND age > age-repro]","count hyenas with [disease = ""infected"" AND age <= age-repro]","count hyenas with [disease = ""recovered"" AND age > age-repro]","count hyenas with [disease = ""recovered"" AND age <= age-repro]","count hyenas with [disease = ""susceptible"" AND age > age-repro]","count hyenas with [disease = ""susceptible"" AND age <= age-repro]"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","39","518","20","0","5.268722189116925","0","0.775505698440914","22","0","22","184","221","0","91"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","33","428","20","0","3.750595968359126","0","0.8559948437191152","14","0","14","143","217","0","54"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","40","522","20","0","5.542164346374871","0","0.7616670676033019","19","0","19","184","223","0","96"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","34","433","20","0","4.146862648875032","0","0.835456609742204","10","0","10","147","214","0","62"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","41","529","20","0","5.698252609459507","0","0.7531707229071898","22","0","22","185","221","0","101"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","35","437","20","0","4.527138092385771","0","0.8154159258678219","5","0","5","150","214","0","68"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","42","536","20","0","5.869609384492753","0","0.7441780669207219","25","0","25","186","220","0","105"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","36","445","20","0","4.9631688572865045","0","0.7926123534290659","5","0","5","152","212","0","76"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","43","538","20","0","6.037559744177392","0","0.7353309161371666","23","0","23","188","218","0","109"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","37","449","20","0","5.072786935286936","0","0.7859912709071065","5","0","5","152","212","0","80"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","44","551","20","0","6.105459235989928","0","0.7314935840073621","28","0","28","188","220","0","115"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","38","457","20","0","5.47629570721676","0","0.7654847781845175","4","0","4","152","212","0","89"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","39","468","20","0","6.131107562028615","0","0.7317188608077951","4","0","4","150","212","0","102"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","45","553","20","0","6.233977013324841","0","0.7248758285341261","27","0","27","190","219","0","117"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","46","551","20","0","6.209163739445352","0","0.7257856044544388","24","0","24","189","220","0","118"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","40","478","20","0","6.482024348200818","0","0.7124847256303488","5","0","5","151","211","0","111"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","47","549","20","0","6.023818121816536","0","0.7350983741318953","28","0","28","192","216","0","113"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","41","485","20","0","6.8114172377330275","0","0.6950533743948661","5","0","5","152","209","0","119"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","48","548","20","0","5.878742091242089","0","0.7428178141444901","29","0","29","196","212","0","111"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","42","495","20","0","7.246852832522171","0","0.6724100270936348","5","0","5","155","206","0","129"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","43","503","20","0","7.481065841735177","0","0.6595672092679228","5","0","5","157","206","0","135"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","49","551","20","0","6.226562254795013","0","0.7258127779674737","28","0","28","198","210","0","115"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","44","507","20","0","7.6722051118218175","0","0.6493681048723052","5","0","5","160","203","0","139"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","50","558","20","0","6.3866562997956855","0","0.7169578239085893","32","0","32","198","209","0","119"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","45","512","20","0","8.016918976388622","0","0.6316224564241841","5","0","5","164","199","0","144"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","51","562","20","0","6.437528266940031","0","0.7139714778484276","33","0","33","198","210","0","121"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","46","517","20","0","8.195119208277102","0","0.6218251624073541","6","0","6","162","198","0","151"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","52","569","20","0","6.51751990381853","0","0.7098225787014948","39","0","39","203","207","0","120"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","47","527","20","0","8.544078672445545","0","0.6038873244980905","6","0","6","163","197","0","161"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","53","569","20","0","6.498178704680252","0","0.7105821937010621","38","0","38","204","206","0","121"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","48","528","20","0","8.586591861758437","0","0.6008647731369826","7","0","7","162","195","0","164"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","54","571","20","0","6.472985329084401","0","0.7118798432308332","38","0","38","207","206","0","120"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","49","536","20","0","8.713671126998964","0","0.5943596823069008","8","0","8","162","195","0","171"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","55","580","20","0","6.85975694803281","0","0.6926061447599012","39","0","39","208","206","0","127"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","50","541","20","0","8.748118025130072","0","0.5923120828588415","9","0","9","163","195","0","174"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","56","581","20","0","6.892797752356575","0","0.6899904196201662","39","0","39","208","205","0","129"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","51","548","20","0","8.90855446993891","0","0.5841878806459966","11","0","11","165","192","0","180"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","57","593","20","0","7.226145377383767","0","0.6731922521118199","44","0","44","210","201","0","138"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","52","558","20","0","9.334938853417114","0","0.562462451361444","11","0","11","169","188","0","190"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","58","600","20","0","7.1330752401420705","0","0.6770058505984874","52","0","52","212","201","0","135"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","53","565","20","0","9.501786760997287","0","0.553033784518208","10","0","10","168","190","0","197"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","59","600","20","0","7.047835812726781","0","0.6814585018935853","52","0","52","215","199","0","134"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","54","575","20","0","9.716067026879383","0","0.5418483378819412","13","0","13","172","186","0","204"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","60","598","20","0","6.894044064010437","0","0.6893707218941576","52","0","52","216","200","0","130"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","55","578","20","0","9.749800666534076","0","0.5396023835673932","14","0","14","173","185","0","206"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","61","596","20","0","6.711502342499784","0","0.6988934189697187","56","0","56","217","200","0","123"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","56","584","20","0","9.95119756610031","0","0.529420240873354","12","0","12","175","184","0","213"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","62","606","20","0","6.822279846502603","0","0.6938306786233557","59","0","59","219","200","0","128"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","57","590","20","0","10.0949680161925","0","0.5217226112340427","13","0","13","178","181","0","218"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","63","602","20","0","7.0049644538601346","0","0.6844433112381609","56","0","56","222","196","0","128"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","58","593","20","0","10.183779747458235","0","0.5168971431887903","10","0","10","178","182","0","223"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","64","607","20","0","6.919336866104516","0","0.6882553222566823","60","0","60","225","196","0","126"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","59","600","20","0","10.365127213345179","0","0.5075884964921806","9","0","9","178","183","0","230"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","65","608","20","0","6.872602840552302","0","0.690782624085219","61","0","61","225","196","0","126"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","60","607","20","0","10.47529801737021","0","0.5016145239560985","9","0","9","177","183","0","238"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","66","622","20","0","7.121206046136594","0","0.6784788288974312","61","0","61","230","194","0","137"
