"BehaviorSpace results (NetLogo 6.1.1)"
"YBC_Continuous_Breeding_20210413.nlogo"
"single_run_continuous_breeding"
"04/22/2021 10:19:59:008 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","within-group.contact","infection-length","group-size","rnot","age-repro","virulence","immunity-barrier","clan-number","between-group.contact","survival","fertility","frequency_transmission","fission","[step]","abundance","sealed","open","protected","nonprot","locked","count hyenas with [disease = ""infected""]","count hyenas with [disease = ""infected"" AND age > age-repro]","count hyenas with [disease = ""infected"" AND age <= age-repro]","count hyenas with [disease = ""recovered"" AND age > age-repro]","count hyenas with [disease = ""recovered"" AND age <= age-repro]","count hyenas with [disease = ""susceptible"" AND age > age-repro]","count hyenas with [disease = ""susceptible"" AND age <= age-repro]"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","60","686","20","0","16.34699884452207","0","0.1933126010622451","0","0","0","217","188","0","281"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","78","625","0","0","0","0","0","42","0","42","245","226","0","112"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","61","695","20","0","16.826218107648497","0","0.16835472467068738","0","0","0","218","187","0","290"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","79","630","0","0","0","0","0","42","0","42","247","232","0","109"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","62","711","20","0","17.233585310887943","0","0.14673847068913723","0","0","0","221","183","0","307"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","80","637","0","0","0","0","0","47","0","47","249","232","0","109"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","81","645","0","0","0","0","0","50","0","50","253","230","0","112"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","63","715","20","0","17.310709695124398","0","0.14180143877823706","0","0","0","221","180","0","314"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","82","658","0","0","0","0","0","53","0","53","255","229","0","121"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","64","719","20","0","17.506183402081238","0","0.13178090183485008","0","0","0","223","178","0","318"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","83","653","0","0","0","0","0","51","0","51","255","227","0","120"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","65","729","20","0","17.74335404166193","0","0.11942134300864596","0","0","0","225","176","0","328"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","84","661","0","0","0","0","0","44","0","44","255","231","0","131"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","66","735","20","0","18.024807134492733","0","0.10473071042579567","0","0","0","225","174","0","336"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","85","666","0","0","0","0","0","45","0","45","255","231","0","135"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","67","742","20","0","18.381937547746368","0","0.08613965813397122","0","0","0","230","168","0","344"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","86","670","0","0","0","0","0","41","0","41","257","233","0","139"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","68","747","19","0","17.544868940399127","0","0.08111951145972869","0","0","0","230","167","0","350"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","87","673","0","0","0","0","0","38","0","38","257","235","0","143"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","88","679","0","0","0","0","0","47","0","47","260","232","0","140"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","69","752","19","0","17.773575650355838","0","0.06881809795283644","0","0","0","234","162","0","356"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","89","690","0","0","0","0","0","47","0","47","262","232","0","149"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","70","760","19","0","17.85164835164835","0","0.06406156559497289","0","0","0","234","161","0","365"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","90","699","0","0","0","0","0","46","0","46","262","233","0","158"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","71","778","18","0","17.030844155844157","0","0.057400967208378714","0","0","0","234","160","0","384"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","91","704","0","0","0","0","0","49","0","49","261","234","0","160"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","72","787","16","0","15.111555111555113","0","0.05911536597832919","0","0","0","234","160","0","393"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","92","716","0","0","0","0","0","54","0","54","263","235","0","164"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","73","794","16","0","15.18095238095238","0","0.054885186564121766","0","0","0","235","159","0","400"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","93","725","0","0","0","0","0","55","0","55","264","239","0","167"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","74","801","15","0","14.264682539682541","0","0.05268017645877214","0","0","0","234","159","0","408"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","94","725","0","0","0","0","0","61","0","61","266","236","0","162"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","95","732","0","0","0","0","0","64","0","64","267","236","0","165"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","75","809","13","0","12.298921216083688","0","0.05798145849039113","0","0","0","234","159","0","416"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","96","737","0","0","0","0","0","70","0","70","269","239","0","159"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","76","816","13","0","12.3444099378882","0","0.05489011696939941","0","0","0","235","158","0","423"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","97","742","0","0","0","0","0","76","0","76","269","241","0","156"
